,word,in English,trans
944,الشارع,Street,אלשארע
945,الدخول,Access,אלدחול
946,الحديث,Talk,אלחدית
947,قتلت,Killed,קתלת
948,الأحمق,Asshole,אלأחמק
949,يعد,The,יעد
950,مختلف,Different,מחתלפ
951,بيل,Bill,بיל
952,الطائرة,Plane,אלטאئרة
953,شركة,Company,שרכة
954,صوت,Voice,צות
955,أبحث,Looking,أبחת
956,أسفل,Down,أשפל
957,تعتقدين,Do you think,תעתקدינ
958,أطلق,Launched,أטלק
959,بالداخل,Inside,بאלدאחל
960,عما,What,עמא
961,ببعض,Some,ببעצ
962,صديقك,Friend,צدיקכ
963,بضعة,A few,بצעة
964,بتلك,Those,بתלכ
965,ماري,Marie,מארי
966,زوجتك,Wife,זוجתכ
967,عليكم,You,עליכמ
968,الجانب,Side,אלجאנب
969,قريبا,Soon,קריبא
970,انتظري,Wait,אנתטרי
971,وهذه,This,וهדه
972,اشعر,I feel,אשער
973,تتكلم,Speak,תתכלמ
974,هاري,Harry,هארי
975,للعمل,To work,ללעמל
976,الثاني,II,אלתאני
977,المنطقة,Region,אלמנטקة
978,ممتاز,Excellent,ממתאז
979,القليل,Little,אלקליל
980,الهواء,Air,אלهואء
981,إننا,We,إננא
982,امي,Lamy,אמי
983,تخرج,He graduated,תחרج
984,خطر,Risk,חטר
985,البداية,Beginning,אלبدאיة
986,فعلته,I did,פעלתه
987,قم,Do,קמ
988,i,i,i
989,الحقيقي,Real,אלחקיקי
990,سنكون,We will be,שנכונ
991,الفريق,Team,אלפריק
992,معا,Together,מעא
993,يحب,Loves,יחب
994,الولد,Boy,אלולد
995,بعمل,Work,بעמל
996,مساعدة,Help,משאעدة
997,عملية,Process,עמליة
998,تحمل,Bear,תחמל
999,جين,Jane,جינ
